index,open,high,low,volume,close,total_turnover
2011-01-04 09:45:00,3155.557,3159.809,3145.393,896395600.0,3154.281,16555181400.0
2011-01-04 10:00:00,3154.306,3156.134,3143.692,773819300.0,3144.368,12649929400.0
2011-01-04 10:15:00,3144.331,3149.654,3143.604,576122700.0,3148.596,9226836900.0
2011-01-04 10:30:00,3149.459,3176.801,3149.459,1026131800.0,3172.421,12672905000.0
2011-01-04 10:45:00,3172.048,3172.245,3160.729,522200800.0,3160.729,8038451600.0
2011-01-04 11:00:00,3160.37,3164.466,3156.927,388230700.0,3159.453,5888531900.0
2011-01-04 11:15:00,3159.665,3174.323,3159.617,399654800.0,3174.323,5848677900.0
2011-01-04 11:30:00,3174.634,3179.478,3169.252,409933500.0,3179.475,6031577800.0
2011-01-04 13:15:00,3181.327,3183.496,3179.616,354777200.0,3182.942,5157634100.0
2011-01-04 13:30:00,3183.096,3192.66,3182.955,501558900.0,3187.592,7003359400.0
2011-01-04 13:45:00,3187.521,3188.611,3182.551,352314300.0,3188.174,5361359400.0
2011-01-04 14:00:00,3186.475,3194.358,3186.475,404147900.0,3193.409,6592558200.0
2011-01-04 14:15:00,3193.359,3193.359,3179.694,381549200.0,3183.126,5923370600.0
2011-01-04 14:30:00,3183.123,3190.778,3179.694,433834100.0,3189.673,6078295300.0
2011-01-04 14:45:00,3189.728,3190.673,3187.055,449728400.0,3188.563,6483299400.0
2011-01-04 15:00:00,3188.812,3189.908,3183.227,670644800.0,3189.682,9647652400.0
2011-01-05 09:45:00,3170.181,3175.796,3158.871,944178800.0,3169.068,13679960700.0
2011-01-05 10:00:00,3169.124,3177.447,3169.124,804848400.0,3171.796,11007328900.0
2011-01-05 10:15:00,3172.022,3182.387,3171.685,670536000.0,3178.97,9238903200.0
2011-01-05 10:30:00,3179.021,3189.876,3177.883,655444800.0,3189.536,9079100000.0
2011-01-05 10:45:00,3189.349,3193.779,3183.054,540504300.0,3183.32,7405761400.0
2011-01-05 11:00:00,3182.774,3182.774,3176.252,406350900.0,3176.252,5949215400.0
2011-01-05 11:15:00,3175.834,3177.447,3169.864,384837600.0,3177.447,5667795600.0
2011-01-05 11:30:00,3177.917,3182.83,3177.463,300659100.0,3182.642,5069085600.0
2011-01-05 13:15:00,3183.644,3184.205,3181.271,262975100.0,3184.131,4168253200.0
2011-01-05 13:30:00,3184.37,3192.513,3184.238,386094700.0,3186.628,6206100100.0
2011-01-05 13:45:00,3186.318,3186.347,3178.568,369845200.0,3184.323,5587327600.0
2011-01-05 14:00:00,3184.426,3187.398,3182.971,359059800.0,3183.084,5789826500.0
2011-01-05 14:15:00,3182.603,3182.603,3167.745,470349300.0,3173.166,7012563800.0
2011-01-05 14:30:00,3173.159,3178.63,3167.895,398299000.0,3178.273,6089246700.0
2011-01-05 14:45:00,3177.901,3177.95,3172.756,365141000.0,3172.756,5399584900.0
